Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Andre Muniz,JunYong Park,Middleweight,S-DEC,3,5:00,Win,80%,30,24,6,0,1.97,50%,1.99,54%,4.23,50%,35%,1.2,74%,23,17,6,0,4.53,50%,3.3,53%,1.83,50%,57%,1.1
Kevin Jousset,Song Kenan,Welterweight,U-DEC,3,5:00,Win,83%,12,10,2,0,8.23,55%,5.1,53%,1.51,66%,100%,0.8,71%,28,20,8,0,4.36,46%,6.38,50%,0.34,50%,61%,0
HyunSung Park,Shannon Ross,Flyweight,KO/TKO Punch,2,3:59,Win,100%,9,9,0,0,4.15,44%,3.43,59%,1.54,27%,100%,2.6,59%,22,13,9,0,5.96,39%,7.39,55%,0,0%,100%,0
Steve Garcia,Melquizael Costa,Lightweight,KO/TKO Elbows,2,1:01,Win,75%,20,15,5,0,4.85,56%,2.4,46%,1.31,44%,88%,0.7,74%,27,20,7,0,4.29,46%,2.99,59%,2.49,27%,42%,0.5
Luana Santos,Stephanie Egger,Women's Bantamweight,U-DEC,3,5:00,Win,88%,8,7,1,0,6.21,55%,3.64,64%,1.61,50%,66%,0,62%,13,8,5,0,2.2,46%,2.48,52%,2.48,42%,50%,0.6
Tatsuro Taira,Carlos Hernandez,Flyweight,KO/TKO Punches,2,0:55,Win,100%,15,15,0,0,3.51,71%,1.15,47%,2.12,41%,71%,2.4,75%,12,9,3,0,4.95,46%,4.54,46%,1.11,15%,65%,0.3
Talita Alencar,Rayanne Amanda,Women's Strawweight,S-DEC,3,5:00,Win,83%,6,5,0,1,2.37,28%,4.8,48%,2.5,15%,50%,0,67%,21,14,7,0,3.73,36%,4.63,65%,0.5,20%,88%,0
Arman Tsarukyan,Beneil Dariush,Lightweight,KO/TKO Punch,1,1:04,Win,88%,25,22,3,0,3.79,48%,1.84,53%,3.25,37%,75%,0,76%,29,22,6,1,3.78,48%,2.65,57%,1.9,34%,80%,0.9
Jalin Turner,Bobby Green,Lightweight,KO/TKO Punches,1,2:49,Win,64%,22,14,8,0,5.6,48%,4.57,41%,0.79,55%,74%,1.1,68%,47,32,15,0,6.45,52%,3.75,62%,1.19,38%,74%,0.3
Deiveson Figueiredo,Rob Font,Bantamweight,U-DEC,3,5:00,Win,85%,27,23,3,1,3.01,55%,3.38,50%,1.65,42%,58%,1.7,71%,28,20,8,0,5.53,45%,3.65,56%,0.89,35%,46%,0.3
Sean Brady,Kelvin Gastelum,Welterweight,SUB Kimura,3,1:43,Win,94%,17,16,1,0,3.77,53%,3.55,61%,3.29,57%,87%,1.2,67%,27,18,9,0,3.55,41%,3.23,58%,0.96,30%,59%,0.1
Joaquim Silva,Clay Guida,Lightweight,U-DEC,3,5:00,Win,72%,18,13,5,0,3.61,41%,4.51,54%,0.45,60%,64%,0.7,64%,59,38,21,0,2.64,33%,3.01,61%,3.13,36%,67%,0.6
Dustin Stoltzfus,Punahele Soriano,Middleweight,SUB Rear Naked Choke,2,4:10,Win,75%,20,15,5,0,3.49,44%,3.29,48%,2.4,40%,46%,0.7,69%,13,9,4,0,3.96,45%,4.55,48%,0.79,40%,33%,0
Miesha Tate,Julia Avila,Women's Bantamweight,SUB Rear Naked Choke,3,1:15,Win,69%,29,20,9,0,2.62,45%,2.98,51%,2.02,31%,55%,1.3,75%,12,9,3,0,2.59,43%,2.86,50%,0.54,33%,50%,0.3
Cody Brundage,Zach Reese,Middleweight,KO/TKO Slam,1,1:49,Win,63%,16,10,6,0,1.62,54%,2.3,43%,2.33,52%,68%,0.9,86%,7,6,1,0,3.93,66%,6.56,28%,0,0%,0%,9.8
Drakkar Klose,Joe Solecki,Lightweight,KO/TKO Slam,1,1:41,Win,82%,17,14,2,1,4.33,55%,3.4,52%,1.78,30%,68%,0,76%,17,13,4,0,2.21,56%,1.53,52%,2.65,50%,50%,1.5
Rodolfo Bellato,Ihor Potieria,Light Heavyweight,KO/TKO Punches,2,4:17,Win,86%,14,12,2,0,6.47,61%,5.9,44%,1.09,25%,100%,0.5,80%,25,20,5,0,5.19,50%,5.01,51%,0,0%,57%,0
Jared Gooden,Wellington Turman,Welterweight,SUB Rear Naked Choke,2,1:11,Win,72%,32,23,9,0,5.08,49%,6.68,48%,0.67,100%,65%,0.2,69%,26,18,8,0,3.23,51%,4.17,45%,1.55,20%,42%,0.8
Veronica Hardy,Jamey-Lyn Horth,Women's Flyweight,S-DEC,3,5:00,Win,62%,13,8,4,1,3.27,45%,4.1,46%,1.27,41%,57%,0.4,86%,7,6,1,0,3.97,62%,3.53,57%,0.5,25%,70%,0
Brendan Allen,Paul Craig,Middleweight,SUB Rear Naked Choke,3,0:38,Win,83%,29,24,5,0,3.98,53%,3.83,47%,1.74,47%,58%,1.4,68%,25,17,7,1,2.42,46%,2.86,45%,1.76,22%,37%,1.6
