Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Casey Kenney,Nathaniel Wood,Catch Weight,U-DEC,3,5:00,Win,76%,21,16,4,1,4.85,42%,4.67,58%,1.09,35%,61%,0.4,77%,26,20,6,0,5.91,50%,4.22,56%,1.74,48%,70%,0.5
Shavkat Rakhmonov,Alex Oliveira,Welterweight,SUB Guillotine Choke,1,4:40,Win,100%,18,18,0,0,4.12,61%,2.41,51%,1.49,29%,100%,1.8,65%,34,22,12,0,2.99,51%,2.55,46%,2.35,38%,63%,0.6
Da Woon Jung,Sam Alvey,Light Heavyweight,S-DEC,3,5:00,Draw,71%,21,15,5,1,3.49,43%,3.89,51%,1.9,50%,77%,0.2,65%,51,33,18,0,3.28,44%,3.63,52%,0.06,14%,82%,0.1
Miranda Maverick,Liana Jojua,Women's Flyweight,KO/TKO,1,5:00,Win,75%,20,15,5,0,3.8,47%,2.6,59%,2.49,46%,40%,0.4,62%,13,8,5,0,2.42,30%,5.32,54%,1.71,66%,50%,1.3
Joel Alvarez,Alexander Yakovlev,Lightweight,SUB Armbar,1,3:00,Win,87%,23,20,3,0,3.65,46%,3.37,50%,0,0%,11%,1.3,69%,35,24,10,1,1.74,47%,2.41,58%,1.66,35%,72%,0.1
Brian Ortega,Chan Sung Jung,Featherweight,U-DEC,5,5:00,Win,84%,19,16,3,0,4.07,38%,6.54,49%,1.17,27%,57%,1.2,68%,25,17,8,0,3.93,41%,4.52,52%,0.7,44%,72%,0.6
Jessica Andrade,Katlyn Cerminara,Women's Flyweight,KO/TKO Punch,1,4:55,Win,68%,38,26,12,0,6.62,50%,5.37,55%,2.37,55%,72%,0.3,75%,24,18,6,0,4.58,34%,4.48,62%,0.31,15%,50%,0.3
Jimmy Crute,Modestas Bukauskas,Light Heavyweight,KO/TKO Punches,1,2:01,Win,71%,17,12,4,1,3.68,54%,3.04,44%,4.84,57%,60%,2,71%,21,15,6,0,3.28,41%,3.87,50%,0,0%,71%,0
James Krause,Claudio Silva,Welterweight,U-DEC,3,5:00,Win,76%,37,28,9,0,4.79,49%,4.11,61%,0.96,18%,59%,0.9,78%,18,14,4,0,2.48,42%,3,46%,2.85,26%,44%,1.1
Jonathan Martinez,Thomas Almeida,Featherweight,U-DEC,3,5:00,Win,83%,23,19,4,0,4.64,50%,3.76,58%,0.44,41%,69%,0.1,81%,27,22,5,0,4.84,43%,4.93,61%,0.17,14%,75%,0
Guram Kutateladze,Mateusz Gamrot,Lightweight,S-DEC,3,5:00,Win,75%,16,12,4,0,4.62,45%,4.53,56%,0.69,18%,75%,0,92%,26,24,2,0,3.09,51%,3.07,59%,5.28,35%,90%,0.1
Gillian Robertson,Poliana Botelho,Women's Flyweight,U-DEC,3,5:00,Win,62%,21,13,8,0,2.61,46%,3.12,56%,2.53,43%,43%,1,62%,13,8,5,0,2.9,58%,2.8,54%,0.85,57%,76%,0
JunYong Park,John Phillips,Middleweight,U-DEC,3,5:00,Win,74%,23,17,6,0,4.53,50%,3.3,53%,1.83,50%,57%,1.1,67%,33,22,11,0,1.72,34%,4.03,49%,0,0%,7%,0
Fares Ziam,Jamie Mullarkey,Lightweight,U-DEC,3,5:00,Win,79%,19,15,4,0,2.7,48%,1.72,65%,0.81,23%,67%,0.2,71%,24,17,7,0,4.46,46%,4.49,54%,2.42,34%,76%,0.1
Maxim Grishin,Gadzhimurad Antigulov,Light Heavyweight,KO/TKO Punches,2,4:58,Win,73%,44,32,10,2,3.26,52%,2.27,58%,0.21,16%,66%,0,71%,28,20,8,0,2.08,55%,4.21,40%,5.08,36%,0%,1.4
Said Nurmagomedov,Mark Striegl,Bantamweight,KO/TKO Punches,1,0:51,Win,86%,21,18,3,0,3.55,47%,2.13,57%,1.01,16%,66%,1.4,82%,22,18,4,0,1.4,45%,4.07,40%,0,0%,66%,0
Cory Sandhagen,Marlon Moraes,Bantamweight,KO/TKO Kick,2,1:03,Win,81%,21,17,4,0,5.33,44%,3.4,58%,1.36,33%,64%,0.3,68%,34,23,10,1,3.37,40%,4.53,54%,0.87,41%,46%,0.3
Edson Barboza,Makwan Amirkhani,Featherweight,U-DEC,3,5:00,Win,69%,35,24,11,0,4.18,45%,4.34,57%,0.48,50%,75%,0.1,65%,26,17,9,0,1.33,44%,2.98,46%,3.96,43%,35%,1.1
Marcin Tybura,Ben Rothwell,Heavyweight,U-DEC,3,5:00,Win,76%,33,25,8,0,3.6,48%,3.35,55%,1.43,33%,79%,0.1,74%,53,39,14,0,3.71,42%,4.63,47%,0.68,34%,70%,0.4
Dricus Du Plessis,Markus Perez,Middleweight,KO/TKO Punch,1,3:22,Win,91%,23,21,2,0,6.49,50%,4.77,55%,3,51%,40%,0.8,71%,17,12,5,0,2.6,47%,3.72,52%,0.81,25%,77%,1
Tom Aspinall,Alan Baudot,Heavyweight,KO/TKO Punches,1,1:35,Win,82%,17,14,3,0,7.72,66%,2.77,66%,3.46,100%,100%,1.7,73%,11,8,3,0,5.36,58%,4.82,46%,0,0%,62%,0
Ilia Topuria,Youssef Zalal,Featherweight,U-DEC,3,5:00,Win,100%,15,15,0,0,4.4,46%,3.35,65%,1.92,56%,92%,1.3,70%,20,14,5,1,2.88,49%,1.73,65%,2.28,34%,60%,1.3
Tom Breese,KB Bhullar,Middleweight,KO/TKO Punch,1,1:42,Win,80%,15,12,3,0,3.34,50%,2.81,60%,0,0%,70%,1.1,80%,10,8,2,0,4.31,49%,5.39,45%,0,0%,0%,0
Chris Daukaus,Rodrigo Nascimento,Heavyweight,KO/TKO Punches,1,0:45,Win,63%,19,12,7,0,6.05,50%,4.64,55%,0,0%,100%,0,92%,12,11,1,0,4.31,48%,4.76,43%,1.2,33%,77%,0.7
Joaquin Buckley,Impa Kasanganay,Middleweight,KO/TKO Spinning Back Kick,2,2:03,Win,75%,24,18,6,0,4.06,34%,3.26,58%,1.4,36%,69%,0,82%,11,9,2,0,4.96,48%,3.66,58%,1.75,58%,66%,0.2
Tony Kelley,Ali AlQaisi,Bantamweight,U-DEC,3,5:00,Win,73%,11,8,3,0,5.55,47%,4.85,45%,0,0%,52%,1.4,62%,13,8,5,0,2.43,42%,1.97,56%,3.5,29%,60%,1
Giga Chikadze,Omar Morales,Featherweight,U-DEC,3,5:00,Win,83%,18,15,3,0,4.08,43%,3.44,62%,0.23,33%,69%,0.2,73%,15,11,4,0,3.42,40%,3.18,58%,0.46,100%,63%,0
Tracy Cortez,Stephanie Egger,Women's Bantamweight,U-DEC,3,5:00,Win,92%,12,11,1,0,4.11,53%,2.79,60%,2.33,46%,75%,0.3,62%,13,8,5,0,2.2,46%,2.48,52%,2.48,42%,50%,0.6
Tagir Ulanbekov,Bruno Silva,Flyweight,U-DEC,3,5:00,Win,88%,17,15,2,0,3.22,45%,3.3,51%,3.71,46%,61%,2.1,68%,34,23,11,0,4.12,49%,5.45,41%,0.93,27%,73%,0
Holly Holm,Irene Aldana,Women's Bantamweight,U-DEC,5,5:00,Win,68%,22,15,7,0,3.13,40%,2.92,55%,0.87,30%,76%,0.1,68%,22,15,7,0,5.24,40%,6.33,57%,0.16,50%,76%,0.2
Carlos Felipe,Yorgan De Castro,Heavyweight,U-DEC,3,5:00,Win,85%,13,11,2,0,4.88,45%,5.6,50%,0,0%,72%,0,67%,9,6,3,0,2.46,43%,3.85,53%,0,0%,77%,0
Germaine de Randamie,Julianna Pena,Women's Bantamweight,SUB Guillotine Choke,3,3:25,Win,67%,15,10,5,0,2.57,46%,2,65%,0,0%,65%,0.4,71%,17,12,5,0,3.16,47%,2.3,50%,1.94,55%,23%,0.8
Kyler Phillips,Cameron Else,Bantamweight,KO/TKO Elbows,2,0:44,Win,86%,14,12,2,0,5.72,45%,3.38,61%,2.41,46%,75%,0.5,63%,16,10,6,0,1.99,40%,8.09,51%,0,0%,0%,0
Dusko Todorovic,Dequan Townsend,Middleweight,KO/TKO Punches,2,3:15,Win,75%,16,12,4,0,5.54,57%,4.55,46%,0.96,12%,45%,0,64%,33,21,12,0,1.23,34%,3.92,38%,0,0%,46%,0
Carlos Condit,Court McGee,Welterweight,U-DEC,3,5:00,Win,70%,46,32,14,0,3.66,39%,2.67,55%,0.59,46%,38%,1,63%,35,22,13,0,4.6,37%,3.62,61%,1.84,25%,69%,0.4
Charles Jourdain,Josh Culibao,Featherweight,S-DEC,3,5:00,Draw,65%,23,15,7,1,5.56,48%,4.31,57%,0.09,10%,48%,0.6,73%,15,11,3,1,3.2,42%,3.24,56%,0,0%,67%,0.3
Nassourdine Imavov,Jordan Williams,Middleweight,U-DEC,3,5:00,Win,76%,17,13,4,0,4.53,54%,3.26,61%,0.87,31%,76%,1.5,60%,15,9,6,0,5.83,50%,5.46,35%,1.11,50%,85%,0
Loma Lookboonmee,Jinh Yu Frey,Women's Strawweight,U-DEC,3,5:00,Win,75%,12,9,3,0,4.1,57%,2.48,53%,1.9,50%,72%,0.1,52%,21,11,10,0,2.97,43%,4.23,52%,1.02,36%,90%,0.3
Casey Kenney,Alatengheili,Bantamweight,U-DEC,3,5:00,Win,76%,21,16,4,1,4.85,42%,4.67,58%,1.09,35%,61%,0.4,59%,27,16,9,2,2.88,33%,5.03,58%,1.82,40%,72%,0
Luigi Vendramini,Jessin Ayari,Lightweight,KO/TKO Kick,1,1:12,Win,75%,12,9,3,0,2.82,40%,3.82,57%,1.11,15%,100%,0.6,73%,22,16,6,0,3.53,37%,3.59,58%,0,0%,50%,0.3
Israel Adesanya,Paulo Costa,Middleweight,KO/TKO Punch,2,3:59,Win,89%,27,24,3,0,3.93,48%,3.11,56%,0.05,14%,77%,0.1,82%,17,14,3,0,6.2,58%,6.38,47%,0.45,75%,80%,0
Jan Blachowicz,Dominick Reyes,Light Heavyweight,KO/TKO Punch,2,4:36,Win,73%,40,29,10,1,3.41,50%,2.91,53%,1.09,50%,68%,0.3,75%,16,12,4,0,4.75,50%,3.77,48%,0.36,28%,80%,0.4
Brandon Royval,Kai Kara-France,Flyweight,SUB Guillotine Choke,2,0:48,Win,70%,23,16,7,0,4.33,36%,3.42,46%,0.47,60%,40%,1.1,69%,35,24,11,0,4.57,39%,3.24,65%,0.63,33%,88%,0
Ketlen Vieira,Sijara Eubanks,Women's Bantamweight,U-DEC,3,5:00,Win,82%,17,14,3,0,3.04,41%,3.92,51%,1.51,44%,92%,0.6,53%,15,8,7,0,4.3,43%,3.43,57%,1.9,44%,66%,0.3
Hakeem Dawodu,Zubaira Tukhugov,Featherweight,S-DEC,3,5:00,Win,72%,18,13,4,1,5.45,50%,3.37,56%,0,0%,65%,0,74%,27,20,6,1,3.17,39%,3.07,63%,2.13,39%,100%,0
Brad Riddell,Alex Da Silva,Lightweight,U-DEC,3,5:00,Win,71%,14,10,4,0,4.71,53%,3.53,53%,1.77,36%,63%,0,84%,25,21,4,0,2.14,46%,2.52,56%,1.97,43%,76%,0.3
Jake Matthews,Diego Sanchez,Welterweight,U-DEC,3,5:00,Win,73%,26,19,7,0,3.3,45%,2.56,60%,1.59,40%,62%,0.6,70%,44,31,13,0,2.69,37%,3.02,56%,1.51,24%,46%,0.8
Ludovit Klein,Shane Young,Featherweight,KO/TKO Kick,1,1:16,Win,81%,26,21,4,1,3.96,55%,3.74,53%,1.77,47%,83%,0,62%,21,13,8,0,5.19,40%,5.46,52%,0.63,18%,64%,0
William Knight,Aleksa Camur,Light Heavyweight,U-DEC,3,5:00,Win,69%,16,11,5,0,2.62,56%,3.3,35%,1.78,40%,48%,0.4,67%,9,6,3,0,4.73,57%,4.26,54%,0.46,22%,50%,0
Juan Espino,Jeff Hughes,Heavyweight,SUB Scarf Hold,1,3:48,Win,85%,13,11,2,0,2.38,70%,1.95,40%,8.93,78%,50%,2.4,71%,14,10,4,0,3.95,51%,3.67,60%,0.71,50%,45%,0
Danilo Marques,Khadis Ibragimov,Light Heavyweight,U-DEC,3,5:00,Win,73%,15,11,4,0,1.44,79%,2.52,52%,3.93,28%,0%,0.8,67%,12,8,4,0,3.55,49%,4.26,47%,0.97,30%,80%,0.3
Colby Covington,Tyron Woodley,Welterweight,KO/TKO,5,1:19,Win,81%,21,17,4,0,3.88,38%,2.98,55%,3.79,44%,67%,0.2,70%,27,19,7,1,2.36,48%,2.76,54%,1.06,40%,87%,0.4
Donald Cerrone,Niko Price,Welterweight,Overturned,3,5:00,NC,68%,53,36,17,0,4.41,46%,4.48,53%,1.16,33%,73%,1.2,68%,22,15,7,0,5.46,42%,5.6,48%,0.7,20%,64%,0.7
Khamzat Chimaev,Gerald Meerschaert,Middleweight,KO/TKO Punch,1,0:17,Win,100%,13,13,0,0,5.72,58%,3.46,42%,3.99,46%,100%,2.7,68%,53,36,17,0,3.18,45%,3.37,53%,2.17,38%,34%,1.6
Johnny Walker,Ryan Spann,Light Heavyweight,KO/TKO Punches,1,2:43,Win,72%,29,21,8,0,3.81,53%,2.83,44%,0.46,100%,57%,0.9,70%,30,21,9,0,3.42,40%,3.91,45%,1.29,35%,47%,1.5
Mackenzie Dern,Randa Markos,Women's Strawweight,SUB Armbar,1,3:44,Win,72%,18,13,5,0,3.31,40%,4.09,51%,0.79,15%,28%,1.3,46%,24,11,12,1,2.97,43%,3.1,58%,1.12,28%,52%,0.2
Kevin Holland,Darren Stewart,Middleweight,S-DEC,3,5:00,Win,69%,36,25,11,0,4.24,49%,3.19,50%,0.85,38%,54%,0.6,60%,20,12,8,0,3.05,45%,3.29,48%,1.75,45%,67%,0.1
David Dvorak,Jordan Espinosa,Flyweight,U-DEC,3,5:00,Win,77%,26,20,6,0,3.48,43%,3.29,59%,0.58,30%,70%,0.2,63%,24,15,9,0,4.22,52%,2.94,57%,0.75,28%,70%,0.2
Damon Jackson,Mirsad Bektic,Featherweight,SUB Guillotine Choke,3,1:21,Win,79%,29,23,6,0,3,41%,3.29,51%,2.51,35%,40%,1.4,76%,17,13,4,0,2.43,41%,1.8,57%,3.98,52%,92%,0.4
Mayra Bueno Silva,Mara Romero Borella,Women's Flyweight,SUB Armbar,1,2:29,Win,77%,13,10,3,0,3.84,57%,4.86,53%,0.68,38%,68%,1.6,57%,21,12,9,0,2.54,37%,2.48,71%,1.83,44%,66%,0.2
Jessica-Rose Clark,Sarah Alpar,Women's Bantamweight,KO/TKO Knee,3,4:21,Win,55%,20,11,9,0,3.73,51%,3.51,58%,1.66,42%,62%,0.3,60%,15,9,6,0,2.36,44%,6.06,38%,1.61,26%,20%,0.4
Darrick Minner,TJ Laramie,Featherweight,SUB Guillotine Choke,1,0:52,Win,65%,40,26,14,0,2.63,65%,2.28,35%,2.4,72%,66%,2.7,71%,17,12,5,0,1.49,50%,2.64,38%,1.44,33%,40%,0
Randy Costa,Journey Newson,Bantamweight,KO/TKO Kick,1,0:41,Win,60%,10,6,4,0,6.53,46%,7.58,58%,0,0%,50%,0,67%,15,10,5,0,2.64,32%,2.57,64%,0.56,16%,43%,0.3
Andre Ewell,Irwin Rivera,Bantamweight,S-DEC,3,5:00,Win,65%,26,17,9,0,4.28,40%,4.87,51%,0.36,75%,72%,0.1,63%,16,10,6,0,3.36,44%,5.07,57%,1,16%,70%,0
Tyson Nam,Jerome Rivera,Bantamweight,KO/TKO Punches,2,0:34,Win,58%,36,21,14,1,3.87,33%,4.97,65%,0,0%,87%,0,63%,16,10,6,0,3.21,33%,2.6,51%,0,0%,40%,0
Michelle Waterson-Gomez,Angela Hill,Women's Strawweight,S-DEC,5,5:00,Win,60%,30,18,12,0,3.56,46%,4.19,49%,1.42,32%,70%,0.7,55%,29,16,13,0,5.44,50%,4.94,61%,0.73,34%,75%,0.1
Ottman Azaitar,Khama Worthy,Lightweight,KO/TKO Punches,1,1:33,Win,87%,15,13,2,0,5.73,51%,4.96,48%,0,0%,100%,0,64%,25,16,9,0,4.18,48%,4.45,46%,0,0%,57%,0.7
Roxanne Modafferi,Andrea Lee,Women's Flyweight,U-DEC,3,5:00,Win,54%,46,25,21,0,3.35,30%,5.7,51%,1.35,23%,30%,0.1,59%,22,13,9,0,4.69,46%,3.76,62%,1.85,58%,55%,0.6
Ed Herman,Mike Rodriguez,Light Heavyweight,SUB Kimura,3,2:41,Win,63%,43,27,16,0,3.31,48%,3.71,42%,1.96,47%,59%,1,61%,18,11,7,0,4.35,53%,4.24,41%,0,0%,37%,0
Bobby Green,Alan Patrick,Lightweight,U-DEC,3,5:00,Win,68%,47,32,15,0,6.45,52%,3.75,62%,1.19,38%,74%,0.3,79%,19,15,4,0,1.82,40%,2.95,43%,3.01,33%,43%,0.3
Billy Quarantillo,Kyle Nelson,Featherweight,KO/TKO Punch,3,0:07,Win,75%,24,18,6,0,7.36,56%,5.57,43%,1.24,23%,61%,1.1,73%,22,16,5,1,3.65,45%,4.69,52%,1.1,20%,73%,0.6
Sijara Eubanks,Julia Avila,Women's Bantamweight,U-DEC,3,5:00,Win,53%,15,8,7,0,4.3,43%,3.43,57%,1.9,44%,66%,0.3,75%,12,9,3,0,2.59,43%,2.86,50%,0.54,33%,50%,0.3
Roosevelt Roberts,Kevin Croom,Lightweight,Overturned Guillotine Choke,1,0:31,NC,71%,17,12,5,0,3.05,44%,3.12,52%,1.39,29%,52%,0.9,58%,36,21,15,0,2.65,34%,3.1,41%,0.48,5%,30%,0.5
Alexandr Romanov,Roque Martinez,Heavyweight,SUB Arm Triangle,2,4:22,Win,89%,19,17,2,0,4.06,52%,2.2,50%,4.32,54%,20%,0.9,60%,25,15,8,2,3.28,53%,4.9,56%,0.38,50%,53%,0.4
Jalin Turner,Brok Weaver,Catch Weight,SUB Rear Naked Choke,2,4:20,Win,64%,22,14,8,0,5.6,48%,4.57,41%,0.79,55%,74%,1.1,71%,21,15,6,0,4.78,64%,4.35,46%,0.41,10%,66%,0.4
Bryan Barberena,Anthony Ivy,Welterweight,U-DEC,3,5:00,Win,60%,30,18,12,0,5.35,48%,4.59,44%,0.13,22%,50%,0.3,67%,12,8,4,0,2.5,42%,4.57,51%,4.69,20%,100%,0
Sabina Mazo,Justine Kish,Women's Flyweight,SUB Rear Naked Choke,3,3:57,Win,69%,13,9,4,0,6.1,43%,4.35,57%,0.65,80%,59%,0.2,64%,11,7,4,0,4.51,48%,4.59,57%,0.87,33%,50%,0.1
Alistair Overeem,Augusto Sakai,Heavyweight,KO/TKO Elbows,5,0:26,Win,71%,66,47,19,0,3.67,64%,2.44,57%,1.42,55%,73%,0.8,73%,22,16,5,1,4.6,49%,3.83,48%,0.23,40%,56%,0
Ovince Saint Preux,Alonzo Menifield,Light Heavyweight,KO/TKO Punch,2,4:07,Win,61%,44,27,17,0,3.03,47%,3.32,47%,1.1,36%,67%,0.5,79%,19,15,3,1,3.92,57%,3.51,49%,0.67,33%,75%,0.3
Michel Pereira,Zelim Imadaev,Welterweight,SUB Rear Naked Choke,3,4:39,Win,73%,41,30,11,0,5.15,54%,3.71,58%,1.55,55%,94%,0.7,73%,11,8,3,0,2.91,36%,4.35,43%,0.38,50%,60%,0
Andre Muniz,Bartosz Fabinski,Middleweight,SUB Armbar,1,2:42,Win,80%,30,24,6,0,1.97,50%,1.99,54%,4.23,50%,35%,1.2,75%,20,15,5,0,2.23,68%,1.46,51%,7.1,70%,80%,0
Brian Kelleher,Ray Rodriguez,Featherweight,SUB Guillotine Choke,1,0:39,Win,62%,39,24,15,0,3.39,41%,4.64,54%,1.74,41%,60%,0.7,67%,24,16,8,0,0.9,27%,3.89,40%,1.42,50%,44%,0
Viviane Araujo,Montana De La Rosa,Women's Flyweight,U-DEC,3,5:00,Win,67%,18,12,6,0,4.11,47%,4.96,56%,1.76,40%,78%,0.6,55%,22,12,9,1,2.7,36%,3.21,44%,1.71,31%,64%,0.8
Hunter Azure,Cole Smith,Bantamweight,U-DEC,3,5:00,Win,82%,11,9,2,0,3.92,53%,2.08,58%,1.97,34%,67%,1.3,78%,9,7,2,0,1.78,35%,1.96,49%,1.67,33%,45%,1.7
Aleksandar Rakic,Anthony Smith,Light Heavyweight,U-DEC,3,5:00,Win,78%,18,14,4,0,4.26,50%,2.8,50%,0.76,25%,85%,0.1,66%,56,37,19,0,3.21,48%,4.47,46%,0.49,26%,48%,0.6
Neil Magny,Robbie Lawler,Welterweight,U-DEC,3,5:00,Win,71%,41,29,12,0,3.47,46%,2.42,52%,2.17,40%,54%,0.3,65%,46,30,16,0,3.85,47%,4.67,59%,0.65,64%,65%,0
Alexa Grasso,Ji Yeon Kim,Women's Flyweight,U-DEC,3,5:00,Win,80%,20,16,3,1,4.67,43%,3.95,58%,0.41,45%,59%,0.6,50%,18,9,7,2,5.37,36%,5.41,56%,0,0%,50%,0.1
Ricardo Lamas,Bill Algeo,Featherweight,U-DEC,3,5:00,Win,71%,28,20,8,0,3.13,47%,2.87,57%,1.84,33%,46%,0.9,69%,26,18,8,0,6.16,52%,4.52,47%,0.86,46%,56%,0.1
Impa Kasanganay,Maki Pitolo,Middleweight,U-DEC,3,5:00,Win,82%,11,9,2,0,4.96,48%,3.66,58%,1.75,58%,66%,0.2,59%,22,13,9,0,4.1,44%,3.93,55%,2.24,52%,50%,0.8
Zak Cummings,Alessio Di Chirico,Middleweight,U-DEC,3,5:00,Win,78%,32,25,7,0,2.96,35%,2.91,55%,0.62,28%,66%,0.6,65%,20,13,7,0,3.32,39%,3.44,61%,1.46,39%,83%,0
Alex Caceres,Austin Springer,Featherweight,SUB Rear Naked Choke,1,3:38,Win,60%,35,21,14,0,4.16,50%,2.93,63%,0.56,68%,64%,0.7,75%,16,12,4,0,3.54,57%,3.15,41%,3.37,40%,100%,0.8
Sean Brady,Christian Aguilera,Welterweight,SUB Guillotine Choke,2,1:47,Win,94%,17,16,1,0,3.77,53%,3.55,61%,3.29,57%,87%,1.2,64%,22,14,8,0,2.54,37%,4.04,48%,0,0%,60%,0
Polyana Viana,Emily Whitmire,Women's Strawweight,SUB Armbar,1,1:53,Win,65%,20,13,7,0,2.99,40%,2.65,53%,0.82,33%,38%,1.9,44%,9,4,5,0,2.5,31%,2.98,54%,1.9,66%,70%,0.5
Mallory Martin,Hannah Cifers,Women's Strawweight,SUB Rear Naked Choke,2,1:33,Win,58%,12,7,5,0,4.42,48%,6.64,55%,2.28,43%,25%,0.3,59%,17,10,7,0,4.99,44%,5.39,52%,0.26,100%,64%,0.3
Frankie Edgar,Pedro Munhoz,Bantamweight,S-DEC,5,5:00,Win,66%,35,23,11,1,3.77,40%,2.82,65%,2.29,31%,65%,0.3,69%,29,20,9,0,5.32,43%,6.23,56%,0.51,18%,82%,0.5
Mike Rodriguez,Marcin Prachnio,Light Heavyweight,KO/TKO Elbow,1,2:17,Win,61%,18,11,7,0,4.35,53%,4.24,41%,0,0%,37%,0,71%,24,17,7,0,5.61,55%,3.3,54%,0.17,20%,58%,0
Joe Solecki,Austin Hubbard,Lightweight,SUB Rear Naked Choke,1,3:51,Win,76%,17,13,4,0,2.21,56%,1.53,52%,2.65,50%,50%,1.5,70%,23,16,7,0,3.83,46%,3.37,56%,1.55,52%,63%,0
Shana Dobson,Mariya Agapova,Women's Flyweight,KO/TKO Punches,2,1:38,Win,44%,9,4,5,0,3.34,37%,5.2,50%,0.84,50%,14%,0,71%,14,10,4,0,4.67,55%,3.82,52%,0.59,66%,47%,0.9
Daniel Rodriguez,Dwight Grant,Welterweight,KO/TKO Punches,1,2:24,Win,81%,21,17,4,0,7.3,50%,5.28,56%,0.62,50%,63%,0.1,65%,17,11,6,0,3.29,36%,2.66,60%,0.61,100%,66%,0
Amanda Lemos,Mizuki,Women's Strawweight,U-DEC,3,5:00,Win,78%,18,14,3,1,3.43,54%,4.21,44%,0.98,63%,57%,0.7,71%,21,15,6,0,4.56,50%,5.62,48%,0.33,14%,85%,0
Jordan Wright,Ike Villanueva,Light Heavyweight,KO/TKO,1,1:31,Win,71%,17,12,5,0,4.1,56%,6.03,31%,2.09,45%,100%,0.4,56%,32,18,14,0,3.66,38%,7.24,36%,0.6,50%,100%,0
Matthew Semelsberger,Carlton Minus,Welterweight,U-DEC,3,5:00,Win,61%,18,11,7,0,3.78,43%,4.21,54%,1.02,57%,45%,0.4,77%,13,10,3,0,3.5,40%,4.97,50%,0,0%,58%,0
Timur Valiev,Trevin Jones,Catch Weight,Overturned Punch,2,1:59,NC,86%,21,18,3,0,5.19,53%,3.33,45%,1.73,40%,55%,0.3,57%,23,13,10,0,2.13,37%,4.29,39%,0.62,15%,60%,0.2
Stipe Miocic,Daniel Cormier,Heavyweight,U-DEC,5,5:00,Win,83%,24,20,4,0,4.82,53%,3.82,54%,1.86,34%,68%,0,88%,25,22,3,0,4.25,52%,2.92,54%,1.83,44%,80%,0.4
Marlon Vera,Sean O'Malley,Bantamweight,KO/TKO Elbows,1,4:40,Win,70%,33,23,9,1,4.31,49%,5.48,50%,0.53,39%,70%,0.9,95%,19,18,1,0,7.63,61%,3.52,62%,0.35,42%,62%,0.3
Jairzinho Rozenstruik,Junior Dos Santos,Heavyweight,KO/TKO Punch,2,3:47,Win,74%,19,14,5,0,3.44,49%,2.78,47%,0,0%,75%,0,70%,30,21,9,0,4.49,47%,3.33,56%,0.3,50%,81%,0.1
Daniel Pineda,Herbert Burns,Featherweight,KO/TKO Elbows,2,4:37,Win,65%,43,28,15,0,3.09,49%,3.18,46%,1.71,25%,48%,1.7,69%,16,11,5,0,1.73,40%,4.6,41%,3,42%,66%,2.5
Merab Dvalishvili,John Dodson,Bantamweight,U-DEC,3,5:00,Win,81%,21,17,4,0,4.5,41%,2.37,57%,6.43,36%,80%,0.3,65%,34,22,12,0,3.2,40%,3.58,61%,0.71,28%,82%,0
Vinc Pichel,Jim Miller,Lightweight,U-DEC,3,5:00,Win,82%,17,14,3,0,3.56,47%,2.5,58%,3,54%,23%,0.2,67%,55,37,18,0,2.99,42%,3.5,56%,1.53,44%,47%,1.7
Virna Jandiroba,Felice Herrig,Women's Strawweight,SUB Armbar,1,1:44,Win,87%,23,20,3,0,2.3,38%,2.96,57%,2.36,36%,73%,1.2,58%,24,14,10,0,3.84,37%,5.19,48%,1.08,28%,75%,0.8
Danny Chavez,TJ Brown,Featherweight,U-DEC,3,5:00,Win,65%,17,11,5,1,2.86,38%,3.83,50%,1.95,60%,87%,0,61%,28,17,11,0,3.37,44%,2.89,49%,3.41,57%,36%,1.3
Livinha Souza,Ashley Yoder,Women's Strawweight,U-DEC,3,5:00,Win,78%,18,14,4,0,1.75,45%,3.6,56%,2.54,45%,40%,1.4,47%,17,8,9,0,3.42,39%,4.13,47%,1.09,27%,66%,0.6
Chris Daukaus,Parker Porter,Heavyweight,KO/TKO Knee,1,4:28,Win,63%,19,12,7,0,6.05,50%,4.64,55%,0,0%,100%,0,61%,23,14,9,0,6.55,50%,6.32,51%,1.35,26%,66%,0.5
Kai Kamaka,Tony Kelley,Featherweight,U-DEC,3,5:00,Win,62%,13,8,4,1,4.96,57%,5.29,55%,1.93,58%,52%,0.3,73%,11,8,3,0,5.55,47%,4.85,45%,0,0%,52%,1.4
